query,answer,source,feedback
Who is Marieve Herington and what is she known for?,"Marieve Herington is a Canadian actress and jazz singer who is known for her roles in television shows such as How I Met Your Mother, Your Mother, Good Luck Charlie, and Ever After High. She also provides the voice of Tilly Green on the Disney Channel show Big City Greens and has voiced animated lead characters in video games such as Danganronpa: Trigger Happy Havoc and Tiny Toons Looniversity. Herington has been fronting her own jazz ensembles since the age of 16 and has released several albums under her own label, Maribelle Records.",0_0.txt,good
Where is Ruhpolding located and what is its significance?,"Ruhpolding is a municipality located in the Traunstein district in southeastern Bavaria, Germany. It is situated in the south of the Chiemgau region in the Alps and is close to the Austrian border. Ruhpolding is known for its tourism and sports, particularly winter sports such as biathlon and ski jumping. The town is famous for hosting several Biathlon World Championships and has a biathlon track and a ski jumping hill. It is also a popular destination for golf, mountain biking, shooting, hiking, fly fishing, and skiing.",0_17.txt,good
Who is Marieve Herington and what is she known for?,"Marieve Herington is a Canadian actress and jazz singer who is known for her roles in television shows such as How I Met Your Mother, Your Mother, Good Luck Charlie, and Ever After High. She also provides the voice of Tilly Green on the Disney Channel show Big City Greens and has voiced animated lead characters in video games such as Danganronpa: Trigger Happy Havoc and Tiny Toons Looniversity. Herington has been fronting her own jazz ensembles since the age of 16 and has released several albums under her own label, Maribelle Records.",0_0.txt,good
Where is Ruhpolding?,"Ruhpolding is located in southeastern Bavaria, Germany. It is situated in the south of the Chiemgau region in the Alps and is next to the Austrian border. The municipality has the biggest area of the Traunstein district. It is a famous spa and tourist resort, especially for winter sports. The accommodation figures were 1,122,732 overnight stays per year in 1991.",0_17.txt,bad
Where is Ruhpolding?,"Ruhpolding is located in southeastern Bavaria, Germany. It is situated in the south of the Chiemgau region in the Alps and is next to the Austrian border. The municipality has the biggest area of the Traunstein district. It is a famous spa and tourist resort, especially for winter sports. The accommodation figures were 1,122,732 overnight stays per year in 1991.",0_17.txt,good
Describe the early life and career of Billy Joel.,"Billy Joel, born on May 9, 1949, in Hicksville, New York, grew up on Long Island in a Levittown section of Hicksville. He had a Levitt house, Cape Cod, on a quarter-acre. His father, Howard Joel, was a classically trained pianist who grew up in Nuremberg, Germany, and also went to school in Switzerland. He had a mail-order textile business, Joel Macht Fabrik. Joel's father was quite well off.

Joel's mother, Rosalind, was a stenographer. They divorced in 1957, and Joel's father returned",0_93.txt,good
What is the color of Marieve Herington's eyes?,The text does not provide information about Marieve Herington's eye color.,0_0.txt,good
Name every street mentioned in the document.,"[ Berlin Knox Berlin Mahoning Bern Athens Berne Fairfield Bethel Clark Bethel Miami Bethel Monroe Bethlehem Coshocton Bethlehem Stark Big Island Marion Big Spring Seneca Biglick Hancock Black Creek Mercer Black River Lorain Defunct Blanchard Hancock Blanchard Hardin Blanchard Putnam Blendon Franklin Bloom Fairfield Bloom Morgan Bloom Scioto Bloom Seneca Bloom Wood Bloomfield Jackson Bloomfield Logan Bloomfield Trumbull Blooming Grove Richland Blue Creek Paulding Blue Rock Muskingum Boardman Mahoning Bokes Creek Logan Boston Summit
[ Moorefield Clark Moorefield Harrison Morgan Ashtabula Morgan Butler Morgan Gallia Morgan Knox Morgan Moulton Auglaize Mount Pleasant Jefferson Muhlenberg Pickaway Munson Geauga Muskingum Muskingum Washington Napoleon Henry Neave Darke Nelson Portage New Haven Huron New Jasper Greene New London Hur",0_2575.txt,bad
"How many times does the document mention ""adamantium""?","The document does not mention ""adamantium"".",1_8602.txt,bad
What was the significance of the Seneca Falls Convention?,"The Seneca Falls Convention was significant as it was the first women's rights convention held in the United States. It was organized in July 1848, in Seneca Falls, New York by Elizabeth Cady Stanton, Lucretia Mott, Mary Ann McClintock, and Jane Hunt. The convention's ""Declaration of Sentiments"" was patterned on the Declaration of Independence and demanded social and political equality for women. The motto of the convention was that ""All men and women are created equal"" and they demanded the right to vote. The convention is considered a key event in the women's suffrage movement and helped to lay the groundwork for the women's rights movement in the United States.",0_4776.txt,good
What is the ISBN number of the first book mentioned in the document?,The ISBN number of the first book mentioned in the document is 0-684-83339-5.,0_1888.txt,bad
How did Billy Joel's personal life influence his music?,"Billy Joel's personal life had a significant influence on his music. He often drew inspiration from his experiences and emotions, which is evident in many of his songs. For example, his song ""We Didn't Start the Fire"" is about the history of rock and roll, but also reflects his own journey through the",0_93.txt,bad
What were the key milestones in the global women's suffrage movement?,"The global women's suffrage movement had several key milestones. One of the earliest milestones was the Seneca Falls Convention in 1848, which was the first women's rights convention in the United States and is considered a key event in the history of the women's suffrage movement. Another important milestone was the passage of the Nineteenth Amendment to the United States Constitution in 1920, which granted women the right to vote. The suffrage movement also made significant progress in other countries, such as the United Kingdom, where women gained the right to vote in 1928, and India, where women gained the right to vote in 1948. Additionally, the passage of the United Nations Convention on the Elimination of All Forms of Discrimination Against Women in 1979 helped to further advance women's suffrage rights around the world.",0_1034.txt,good
What is the weather like in Nagasaki during the events of The Wolverine?,"During the events of The Wolverine, the weather in Nagasaki is recreated digitally for the film. According to the film's production, the team recreated the effects of the atomic bombing of Nagasaki digitally, and replaced the Sydney cityscape on the horizon with views of Nagasaki. This means that the weather in the film is not based on the actual weather in Nagasaki during the time of the film's events, but rather the team's digital recreation of the city.",0_1055.txt,bad
